location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated
Trinidad and Tobago,2021-02-15,Oxford/AstraZeneca,https://www.looptt.com/content/health-ministry-give-1st-batch-covid-19-vaccines-staff,0,0,0
Trinidad and Tobago,2021-02-22,Oxford/AstraZeneca,https://trinidadexpress.com/newsextra/no-vaccine-for-children-pregnant-breast-feeding/article_4bf5c4ba-752d-11eb-9b08-c74c78f65525.html,440,440,0
Trinidad and Tobago,2021-02-27,Oxford/AstraZeneca,https://www.looptt.com/content/100800-vaccines-approved-tt-deyalsingh-announces,991,991,0
Trinidad and Tobago,2021-04-08,Oxford/AstraZeneca,https://health.gov.tt/covid-19-update-thursday-8th-april-2021,4777,4777,0
Trinidad and Tobago,2021-04-15,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,13087,13087,0
Trinidad and Tobago,2021-04-16,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,15425,15425,0
Trinidad and Tobago,2021-04-17,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,16414,16414,0
Trinidad and Tobago,2021-04-18,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,16462,16462,0
Trinidad and Tobago,2021-04-19,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,17695,17695,0
Trinidad and Tobago,2021-04-20,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,19475,19475,0
Trinidad and Tobago,2021-04-21,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,21231,21231,0
Trinidad and Tobago,2021-04-22,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,24086,24086,0
Trinidad and Tobago,2021-04-23,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,27697,27697,0
Trinidad and Tobago,2021-04-24,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,30808,30808,0
Trinidad and Tobago,2021-04-25,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,34353,34353,0
Trinidad and Tobago,2021-04-26,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,41549,41549,0
Trinidad and Tobago,2021-04-27,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,41669,41669,0
Trinidad and Tobago,2021-04-28,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,42082,42082,0
Trinidad and Tobago,2021-04-29,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,42154,42154,0
Trinidad and Tobago,2021-04-30,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,42455,42455,0
Trinidad and Tobago,2021-05-01,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,42455,42455,0
Trinidad and Tobago,2021-05-02,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,42455,42455,0
Trinidad and Tobago,2021-05-03,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,44810,44810,0
Trinidad and Tobago,2021-05-04,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,51479,51283,196
Trinidad and Tobago,2021-05-05,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,55547,55259,288
Trinidad and Tobago,2021-05-06,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,58224,57744,480
Trinidad and Tobago,2021-05-07,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,59586,58981,605
Trinidad and Tobago,2021-05-08,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,60732,59786,946
Trinidad and Tobago,2021-05-09,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,61120,60174,946
Trinidad and Tobago,2021-05-10,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,61345,60245,1100
Trinidad and Tobago,2021-05-11,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,61666,60487,1179
Trinidad and Tobago,2021-05-12,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,61764,60585,1179
Trinidad and Tobago,2021-05-13,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,61824,60645,1179
Trinidad and Tobago,2021-05-14,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,61848,60669,1179
Trinidad and Tobago,2021-05-15,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,61850,60671,1179
Trinidad and Tobago,2021-05-16,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,61850,60671,1179
Trinidad and Tobago,2021-05-17,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,61850,60671,1179
Trinidad and Tobago,2021-05-18,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,62985,61806,1179
Trinidad and Tobago,2021-05-19,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,62985,61806,1179
Trinidad and Tobago,2021-05-20,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,62985,61806,1179
Trinidad and Tobago,2021-05-21,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,63539,62360,1179
Trinidad and Tobago,2021-05-22,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,65818,64639,1179
Trinidad and Tobago,2021-05-23,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,67478,66299,1179
Trinidad and Tobago,2021-05-24,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,68503,67324,1179
Trinidad and Tobago,2021-05-25,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,73299,72120,1179
Trinidad and Tobago,2021-05-26,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,76765,75586,1179
Trinidad and Tobago,2021-05-27,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,79461,78282,1179
Trinidad and Tobago,2021-05-28,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,86079,84900,1179
Trinidad and Tobago,2021-05-29,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,92044,90865,1179
Trinidad and Tobago,2021-05-30,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,94472,93293,1179
Trinidad and Tobago,2021-05-31,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,95850,94671,1179
Trinidad and Tobago,2021-06-01,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,99738,98559,1179
Trinidad and Tobago,2021-06-02,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,105065,103886,1179
Trinidad and Tobago,2021-06-03,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,107766,106587,1179
Trinidad and Tobago,2021-06-04,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,111289,110110,1179
Trinidad and Tobago,2021-06-05,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,115340,114161,1179
Trinidad and Tobago,2021-06-06,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,119756,118577,1179
Trinidad and Tobago,2021-06-07,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,125344,123016,2328
Trinidad and Tobago,2021-06-08,Oxford/AstraZeneca,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/,132926,129437,3489
