location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Spain,2021-01-08,18,24,0.29,0.0
Spain,2021-01-08,25,49,0.81,0.0
Spain,2021-01-08,50,59,1.03,0.0
Spain,2021-01-08,60,69,0.81,0.0
Spain,2021-01-08,70,79,0.71,0.0
Spain,2021-01-08,80,,4.67,0.0
Spain,2021-01-15,18,24,0.75,0.0
Spain,2021-01-15,25,49,2.17,0.0
Spain,2021-01-15,50,59,2.71,0.0
Spain,2021-01-15,60,69,2.05,0.0
Spain,2021-01-15,70,79,1.08,0.01
Spain,2021-01-15,80,,6.98,0.03
Spain,2021-01-22,18,24,1.03,0.05
Spain,2021-01-22,25,49,2.88,0.14
Spain,2021-01-22,50,59,3.63,0.2
Spain,2021-01-22,60,69,2.72,0.16
Spain,2021-01-22,70,79,1.21,0.2
Spain,2021-01-22,80,,7.74,1.19
Spain,2021-01-29,18,24,1.14,0.25
Spain,2021-01-29,25,49,3.12,0.71
Spain,2021-01-29,50,59,3.94,0.93
Spain,2021-01-29,60,69,2.94,0.73
Spain,2021-01-29,70,79,1.27,0.64
Spain,2021-01-29,80,,8.04,4.23
Spain,2021-02-05,18,24,1.27,0.63
Spain,2021-02-05,25,49,3.32,1.9
Spain,2021-02-05,50,59,4.18,2.4
Spain,2021-02-05,60,69,3.1,1.83
Spain,2021-02-05,70,79,1.33,0.99
Spain,2021-02-05,80,,8.34,6.37
Spain,2021-02-12,18,24,1.55,0.95
Spain,2021-02-12,25,49,3.91,2.7
Spain,2021-02-12,50,59,4.79,3.42
Spain,2021-02-12,60,69,3.48,2.57
Spain,2021-02-12,70,79,1.41,1.15
Spain,2021-02-12,80,,8.97,7.28
Spain,2021-02-19,18,24,2.09,1.1
Spain,2021-02-19,25,49,4.76,3.01
Spain,2021-02-19,50,59,5.68,3.83
Spain,2021-02-19,60,69,4.0,2.86
Spain,2021-02-19,70,79,1.65,1.22
Spain,2021-02-19,80,,14.25,7.67
Spain,2021-02-26,18,24,2.72,1.2
Spain,2021-02-26,25,49,6.18,3.17
Spain,2021-02-26,50,59,6.82,4.01
Spain,2021-02-26,60,69,4.55,2.99
Spain,2021-02-26,70,79,2.16,1.28
Spain,2021-02-26,80,,25.47,8.0
Spain,2021-03-05,18,24,3.22,1.36
Spain,2021-03-05,25,49,7.72,3.52
Spain,2021-03-05,50,59,7.92,4.43
Spain,2021-03-05,60,69,4.91,3.3
Spain,2021-03-05,70,79,2.67,1.36
Spain,2021-03-05,80,,39.05,8.62
Spain,2021-03-12,18,24,3.83,1.66
Spain,2021-03-12,25,49,9.06,4.0
Spain,2021-03-12,50,59,9.18,5.03
Spain,2021-03-12,60,69,5.1,3.86
Spain,2021-03-12,70,79,2.98,1.59
Spain,2021-03-12,80,,48.24,13.69
Spain,2021-03-19,18,24,3.99,1.94
Spain,2021-03-19,25,49,9.29,4.35
