date,total_vaccinations,people_fully_vaccinated,people_vaccinated,location,source_url,vaccine
2021-01-17,11705,,11705.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-18,13002,,13002.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-19,14276,,14276.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-20,15316,,15316.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-21,16531,,16531.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-22,17767,,17767.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-23,18930,,18930.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-25,21172,1463.0,19709.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-26,22371,1694.0,20677.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-27,23512,2095.0,21417.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-28,24680,2518.0,22162.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-29,25822,2969.0,22853.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-30,26847,3456.0,23391.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-01-31,27759,3948.0,23811.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-01,29002,4476.0,24526.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-02,30252,4891.0,25361.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,Pfizer/BioNTech
2021-02-03,31633,5410.0,26223.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Pfizer/BioNTech"
2021-02-04,33477,6457.0,27020.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Pfizer/BioNTech"
2021-02-05,35676,7594.0,28082.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Pfizer/BioNTech"
2021-02-06,37586,8749.0,28837.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Pfizer/BioNTech"
2021-02-07,39257,9918.0,29339.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Pfizer/BioNTech"
2021-02-08,41285,11050.0,30235.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Pfizer/BioNTech"
2021-02-09,43337,12135.0,31202.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Pfizer/BioNTech"
2021-02-10,44598,12928.0,31670.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-11,46344,13820.0,32524.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-12,48474,14739.0,33735.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-13,50175,15601.0,34574.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-14,51641,16265.0,35376.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-15,53647,17102.0,36545.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-16,55709,17843.0,37866.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-17,57683,18536.0,39147.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-18,59702,19199.0,40503.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-19,62059,19828.0,42231.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-20,63308,20189.0,43119.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-21,64419,20531.0,43888.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
2021-02-22,66334,21160.0,45174.0,Malta,https://github.com/COVID19-Malta/COVID19-Cases,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
